aR,aNa-Na ,aNa-U ,aNa-Cl ,aU-U ,aU-Cl ,aCl-Cl,aU-U (Small),aU-Cl (Small),aCl-Cl (Small),bNa-Na ,bNa-U ,bNa-Cl ,bU-U ,bU-Cl ,bCl-Cl,bU-U (Small),bU-Cl (Small),bCl-Cl (Small),cNa-Na ,cNa-U ,cNa-Cl ,cU-U ,cU-Cl ,cCl-Cl,cU-U (Small),cU-Cl (Small),cCl-Cl (Small),dNa-Na ,dNa-U ,dNa-Cl ,dU-U ,dU-Cl ,dCl-Cl,dU-U (Small),dU-Cl (Small),dCl-Cl (Small)
1.995,0,0,0.000158928,0,0,0,0,0,0,0,0,0.000118421,0,0,0,0,0,0,0,0,2.69379E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.065,0,0,0.002036912,0,0,0,0,0,0,0,0,0.000907644,0,0,0,0,0,0,0,0,0.001497393,0,0,0,0,0,0,0,0,0.000690177,0,0,0,0,0,0
2.135,0,0,0.017709991,0,0,0,0,0,0,0,0,0.018537376,0,0,0,0,0,0,0,0,0.013964169,0,0,0,0,0,0,0,0,0.012196347,0,0,0,0,0,0
2.205,0,0,0.107938476,0,0,0,0,0,0,0,0,0.101434988,0,0,0,0,0,0,0,0,0.086143987,0,0,0,0,0,0,0,0,0.085316071,0,0,0,0,0,0
2.275,0.001137708,0,0.360416631,0,0.000378331,0,0,0.000656144,0,0,0,0.350694437,0,0.002077604,0,0,0.000656144,0,0,0,0.327608926,0,0.000366795,0,0,0.000656144,0,0,0,0.310315192,0,0.000655166,0,0,0.000656144,0
2.345,0.00059455,0,0.882111414,0,0.012415447,0,0,0.015200625,0,0,0,0.86797216,0,0.018749591,0,0,0.015200625,0,0,0,0.811876649,0,0.013215766,0,0,0.015200625,0,0,0,0.75050389,0,0.011574834,0,0,0.015200625,0
2.415,0.000863951,0,1.586107382,0,0.151153096,0,0,0.127874936,3.21685E-05,0,0,1.534558483,0,0.154968861,0,0,0.127874936,3.21685E-05,0.001467919,0,1.47450735,0,0.13472662,0,0,0.127874936,3.21685E-05,0,0,1.394807962,0,0.125767289,0,0,0.127874936,3.21685E-05
2.485,0.007196672,0,2.273750627,0,0.72286481,0,0,0.597755501,0.000239905,0.002560553,0,2.233680778,0,0.78760901,0,0,0.597755501,0.000239905,0.003119798,0,2.170148477,0,0.68150613,0,0,0.597755501,0.000239905,0.004034769,0,2.033820545,0,0.646015669,0,0,0.597755501,0.000239905
2.555,0.011130141,0,2.808732541,0,2.106742633,0.000212358,0,1.678607373,0.002098335,0.006586019,0,2.774708115,0,2.213447511,0.00097096,0,1.678607373,0.002098335,0.004678842,0,2.726378136,0,1.973223867,0.000554874,0,1.678607373,0.002098335,0.007076723,0,2.516896942,0,1.834789252,0.000371166,0,1.678607373,0.002098335
2.625,0.019376119,0,3.07389709,0,4.049922568,0.001249376,0,3.190670022,0.008877233,0.014636261,0,3.037227381,0,4.259313055,0.002785784,0,3.190670022,0.008877233,0.011346053,0,2.97122334,0,3.900275609,0.002239864,0,3.190670022,0.008877233,0.016164626,0,2.784599573,0,3.565366699,0.003057342,0,3.190670022,0.008877233
2.695,0.037735075,0,3.074220261,0,5.898586434,0.006700472,0,4.565021155,0.028379001,0.029515741,0,3.095792026,0,5.95447605,0.008510324,0,4.565021155,0.028379001,0.019336687,0,2.995565896,0,5.622298024,0.008869059,0,4.565021155,0.028379001,0.025118555,0,2.848392216,0,5.216764598,0.013340708,0,4.565021155,0.028379001
2.765,0.068138176,0,2.922556995,0,6.751621661,0.02359414,0,5.282624865,0.075871452,0.052501638,0,2.930025399,0,6.637224565,0.025065376,0,5.282624865,0.075871452,0.035950367,0,2.857528107,0,6.245949913,0.029344532,0,5.282624865,0.075871452,0.039819097,0,2.755588649,0,5.932625349,0.039852546,0,5.282624865,0.075871452
2.835,0.103016435,0,2.661887963,0,6.524639656,0.063701965,0,5.205246985,0.166436815,0.077158621,0.000339647,2.678687651,0,6.349731814,0.061900786,0,5.205246985,0.166436815,0.061325933,0.000799579,2.583142042,0,6.053210486,0.074301767,0,5.205246985,0.166436815,0.066713092,0,2.537076762,0,5.835769755,0.100987894,0,5.205246985,0.166436815
2.905,0.157643205,0.001172578,2.334812904,0,5.551007182,0.146309371,0,4.520786944,0.325441566,0.128934052,0.001291517,2.360147602,0,5.228747391,0.135780413,0,4.520786944,0.325441566,0.095096185,0.000807187,2.314202214,0,5.206281088,0.160004684,0,4.520786944,0.325441566,0.116900223,0.001257821,2.264881209,0,5.024238564,0.210759377,0,4.520786944,0.325441566
2.975,0.203281954,0.000724109,2.061306979,0,4.376980958,0.273631163,0,3.657256378,0.556834638,0.17489083,0.002314262,2.063235283,0,4.128634936,0.258797884,0,3.657256378,0.556834638,0.138169406,0.002063551,2.041958565,0,4.125201726,0.295405929,0,3.657256378,0.556834638,0.136995783,0.001122656,1.966802402,0,4.047559209,0.379300135,0,3.657256378,0.556834638
3.045,0.283824899,0.003156481,1.784649536,0,3.219307789,0.445300946,0,2.824550517,0.83549339,0.251373728,0.005511351,1.807997784,0,3.040025459,0.439649591,0,2.824550517,0.83549339,0.186290676,0.005061102,1.768825252,0,3.136359846,0.491113304,0,2.824550517,0.83549339,0.235227328,0.006678795,1.736929142,0,3.047049414,0.607494019,0,2.824550517,0.83549339
3.115,0.370511479,0.011147663,1.545823274,0,2.404025215,0.648254202,0,2.128172283,1.146902552,0.322099768,0.01520219,1.577981613,0,2.260502249,0.643892131,0,2.128172283,1.146902552,0.273888885,0.009297406,1.572765921,0,2.35514325,0.736380422,0,2.128172283,1.146902552,0.289897843,0.008333587,1.528934611,0,2.243715154,0.871843017,0,2.128172283,1.146902552
3.185,0.475797851,0.017030113,1.358071388,0,1.739147099,0.874144924,0,1.584337428,1.430517228,0.40895794,0.02572097,1.402139011,0,1.599347616,0.860794972,0,1.584337428,1.430517228,0.35059386,0.016036171,1.372230371,0,1.711347704,0.985268147,0,1.584337428,1.430517228,0.38173363,0.0108136,1.35508443,0,1.645895428,1.139799176,0,1.584337428,1.430517228
3.255,0.573894806,0.040626785,1.209180142,0,1.287721313,1.109994855,0,1.218532922,1.679167334,0.490618329,0.044270453,1.251267536,0,1.155735226,1.101165551,0,1.218532922,1.679167334,0.436554638,0.043577361,1.201271823,0,1.252946841,1.226217288,0,1.218532922,1.679167334,0.462616836,0.03058629,1.209520831,0,1.244946899,1.394337291,0,1.218532922,1.679167334
3.325,0.688285177,0.075139621,1.075977876,0,0.942995515,1.315991575,0,0.925121155,1.877022186,0.608541188,0.077245621,1.105842533,0.006285415,0.864285561,1.285955397,0,0.925121155,1.877022186,0.502217695,0.081049725,1.080566138,0,0.945787799,1.45002017,0,0.925121155,1.877022186,0.565956892,0.050131256,1.083862342,0,0.960375905,1.62282721,0,0.925121155,1.877022186
3.395,0.782472662,0.126356672,0.952756947,0,0.7515463,1.467940996,0,0.725337864,1.98804108,0.704575681,0.136647146,1.000596908,0.007529546,0.647884885,1.491820069,0,0.725337864,1.98804108,0.605960068,0.133037893,0.989829452,0,0.73707422,1.637752024,0,0.725337864,1.98804108,0.621575661,0.093443762,0.977227022,0,0.742849458,1.782351782,0,0.725337864,1.98804108
3.465,0.894972999,0.210501792,0.866924459,0,0.586317099,1.5863047,0,0.581188703,2.024832122,0.831641598,0.226437679,0.893331951,0.006865982,0.536505662,1.644766288,0,0.581188703,2.024832122,0.714183055,0.203806764,0.909612008,0.010054386,0.590580913,1.763946115,0,0.581188703,2.024832122,0.761087373,0.158061972,0.891837358,0.000881533,0.584692137,1.85178955,0,0.581188703,2.024832122
3.535,1.017563754,0.322069414,0.800369032,0,0.462101331,1.68424099,0.001938802,0.494731636,1.999616768,0.93704861,0.325657224,0.83500282,0.017343348,0.431284455,1.733260297,0.001938802,0.494731636,1.999616768,0.781902524,0.294826801,0.831991951,0.015451459,0.483282797,1.83649903,0.001938802,0.494731636,1.999616768,0.860858348,0.217121213,0.835256654,0.003673749,0.48185316,1.905141002,0.001938802,0.494731636,1.999616768
3.605,1.158734135,0.407043242,0.739557431,0,0.393248846,1.727720768,0.011019291,0.431085484,1.938057568,1.006396984,0.441228969,0.764884027,0.033556507,0.370159771,1.794282014,0.011019291,0.431085484,1.938057568,0.91218749,0.423071525,0.78242849,0.016971348,0.410308728,1.858030671,0.011019291,0.431085484,1.938057568,0.939154345,0.298175787,0.782958211,0.010995363,0.412009495,1.917095572,0.011019291,0.431085484,1.938057568
3.675,1.225575745,0.562107176,0.697426443,0.00342477,0.323216745,1.751973105,0.017108517,0.385459128,1.858221586,1.118823401,0.586115271,0.712959459,0.056388527,0.320445565,1.804364355,0.017108517,0.385459128,1.858221586,1.013805062,0.555055758,0.751527509,0.011833134,0.360437874,1.833211529,0.017108517,0.385459128,1.858221586,1.08700687,0.435075766,0.742469083,0.015999727,0.346445915,1.858132802,0.017108517,0.385459128,1.858221586
3.745,1.2585426,0.708859906,0.658290597,0.027930606,0.305494284,1.715087579,0.046489334,0.355226516,1.74721346,1.236325466,0.731878788,0.684947279,0.060203538,0.290927562,1.780154606,0.046489334,0.355226516,1.74721346,1.095854835,0.713520056,0.708877129,0.023252078,0.317297017,1.798128657,0.046489334,0.355226516,1.74721346,1.132261392,0.562404532,0.708796697,0.030251985,0.317908467,1.796056812,0.046489334,0.355226516,1.74721346
3.815,1.358512682,0.866324857,0.650358081,0.070339692,0.277562594,1.677987708,0.098539511,0.337039006,1.621655183,1.254321867,0.942910388,0.644570441,0.09913056,0.270483723,1.740221865,0.098539511,0.337039006,1.621655183,1.199580153,0.890761417,0.677685838,0.050425325,0.295728705,1.727668168,0.098539511,0.337039006,1.621655183,1.179391179,0.741380404,0.690636602,0.06482975,0.295430534,1.701525425,0.098539511,0.337039006,1.621655183
3.885,1.444331126,1.044216749,0.628904929,0.104600024,0.258739666,1.628277794,0.176339389,0.331172035,1.50730569,1.30602237,1.155651929,0.628680691,0.244874066,0.240447329,1.654810839,0.176339389,0.331172035,1.50730569,1.264113743,1.038180863,0.663540501,0.116814324,0.268823276,1.650235139,0.176339389,0.331172035,1.50730569,1.252976359,0.923868697,0.676083744,0.15159186,0.276433358,1.626069419,0.176339389,0.331172035,1.50730569
3.955,1.484395368,1.198543084,0.615755459,0.177888753,0.249713774,1.573115021,0.290696822,0.331156192,1.395059744,1.386498747,1.347247139,0.629194293,0.31442199,0.232783116,1.572135649,0.290696822,0.331156192,1.395059744,1.273587174,1.25115149,0.649395865,0.278456684,0.265975707,1.568839121,0.290696822,0.331156192,1.395059744,1.361524314,1.109531296,0.664857694,0.259250602,0.272488991,1.530231951,0.290696822,0.331156192,1.395059744
4.025,1.546567795,1.307334037,0.614433149,0.238395098,0.247787378,1.507286339,0.420004658,0.335913173,1.288835163,1.416198811,1.5264155,0.624214026,0.384113397,0.239372679,1.487068362,0.420004658,0.335913173,1.288835163,1.348973382,1.46860648,0.641526801,0.361300282,0.258982072,1.479539437,0.420004658,0.335913173,1.288835163,1.396857153,1.254129795,0.646374783,0.4107113,0.282101727,1.434731674,0.420004658,0.335913173,1.288835163
4.095,1.521872583,1.434141542,0.587480579,0.390561432,0.225178442,1.459669192,0.589081307,0.345135046,1.204820537,1.417545111,1.59547814,0.616486607,0.519555306,0.252836307,1.415230808,0.589081307,0.345135046,1.204820537,1.376427141,1.61009313,0.635607932,0.526251437,0.25714362,1.386883723,0.589081307,0.345135046,1.204820537,1.360609631,1.448540584,0.653699301,0.517683098,0.289271467,1.346977256,0.589081307,0.345135046,1.204820537
4.165,1.528652135,1.560740372,0.585014614,0.601499223,0.243036705,1.367714533,0.803430191,0.358166439,1.122904365,1.439193255,1.703315881,0.619633033,0.766256392,0.268686027,1.338193215,0.803430191,0.358166439,1.122904365,1.414324227,1.724247217,0.623766261,0.729224002,0.266477694,1.297636692,0.803430191,0.358166439,1.122904365,1.372216245,1.549261465,0.662137234,0.785245161,0.312808322,1.264073038,0.803430191,0.358166439,1.122904365
4.235,1.553510982,1.734506518,0.591137193,0.901679212,0.249555167,1.32520123,1.00475619,0.375698206,1.04618164,1.407707047,1.788161774,0.62193956,0.856588516,0.26350059,1.290934529,1.00475619,0.375698206,1.04618164,1.413170247,1.908445217,0.635796848,0.882797704,0.275461956,1.242624828,1.00475619,0.375698206,1.04618164,1.399175123,1.710414069,0.669123597,1.075423713,0.330590528,1.191693038,1.00475619,0.375698206,1.04618164
4.305,1.53274965,1.714198311,0.588883215,1.268809014,0.254630326,1.277544846,1.231788303,0.40322183,0.991534591,1.429863261,1.892336436,0.628249198,1.111844355,0.274878126,1.223961679,1.231788303,0.40322183,0.991534591,1.426415197,1.980606376,0.635240889,1.048070553,0.287501438,1.170815171,1.231788303,0.40322183,0.991534591,1.448847822,1.844495441,0.665068648,1.324406,0.358499488,1.113031724,1.231788303,0.40322183,0.991534591
4.375,1.543116915,1.721435696,0.594265772,1.188098059,0.287589482,1.203752249,1.42317137,0.434361651,0.938093655,1.402262885,1.88479715,0.619346359,1.212898456,0.283381102,1.177937125,1.42317137,0.434361651,0.938093655,1.420199329,2.032156547,0.644466559,1.19954272,0.32072181,1.105001863,1.42317137,0.434361651,0.938093655,1.453931129,1.867637406,0.677571952,1.550410653,0.369043555,1.05999725,1.42317137,0.434361651,0.938093655
4.445,1.518176463,1.792263036,0.61713573,1.623548314,0.272122537,1.150713371,1.549922869,0.466648016,0.893036271,1.409577704,1.950146793,0.642700573,1.353491512,0.297516163,1.101978519,1.549922869,0.466648016,0.893036271,1.415993296,2.049170867,0.651558942,1.389010583,0.344785619,1.05571231,1.549922869,0.466648016,0.893036271,1.426513439,1.891324693,0.688823983,1.617699679,0.38880013,1.000054977,1.549922869,0.466648016,0.893036271
4.515,1.478002432,1.737577681,0.631316234,1.781708261,0.300365857,1.109556792,1.733554946,0.49974473,0.856350087,1.391077479,1.985613848,0.652153666,1.428312738,0.320387667,1.066764083,1.733554946,0.49974473,0.856350087,1.393722032,2.090273822,0.661006124,1.554673505,0.37252118,1.010524999,1.733554946,0.49974473,0.856350087,1.405429729,1.918994388,0.704247741,1.73667357,0.411439086,0.96605808,1.733554946,0.49974473,0.856350087
4.585,1.454193646,1.747545064,0.645282225,1.774174015,0.329030197,1.077011346,1.843588532,0.540977228,0.831039316,1.332430527,1.997554464,0.659159871,1.588121815,0.343965575,1.044054021,1.843588532,0.540977228,0.831039316,1.363383939,2.0634181,0.670155331,1.539232285,0.402192074,0.969577577,1.843588532,0.540977228,0.831039316,1.418714501,1.968387812,0.716759644,1.83221646,0.453677376,0.913363717,1.843588532,0.540977228,0.831039316
4.655,1.412749037,1.712314859,0.654198633,1.69413491,0.351470703,1.050284218,1.848190977,0.584223614,0.801887358,1.31690119,1.974993372,0.686100474,1.501238004,0.376940617,1.014927333,1.848190977,0.584223614,0.801887358,1.33941029,2.044358518,0.693332364,1.565365127,0.422959549,0.953064512,1.848190977,0.584223614,0.801887358,1.389648494,1.937448356,0.738242095,1.839149366,0.49125143,0.891069826,1.848190977,0.584223614,0.801887358
4.725,1.40256512,1.726615065,0.686493373,1.632145442,0.386427985,1.018751188,1.840167897,0.627923696,0.785033389,1.282485405,1.925745387,0.703116031,1.497107075,0.415305502,0.99037494,1.840167897,0.627923696,0.785033389,1.338766107,1.992520198,0.713949359,1.570228117,0.451232209,0.926252487,1.840167897,0.627923696,0.785033389,1.36265442,1.932590742,0.746218387,1.846645259,0.527931028,0.867694199,1.840167897,0.627923696,0.785033389
4.795,1.375045456,1.678477702,0.695776083,1.620840812,0.447595986,0.996918918,1.807204334,0.671747051,0.781121275,1.246180844,1.879604001,0.730530101,1.496122991,0.477202739,0.968309199,1.807204334,0.671747051,0.781121275,1.328886565,1.945696986,0.729804073,1.5613446,0.502467339,0.914393044,1.807204334,0.671747051,0.781121275,1.349886592,1.912066287,0.764235962,1.813013686,0.568440743,0.854978467,1.807204334,0.671747051,0.781121275
4.865,1.332441946,1.606530752,0.726962536,1.492238543,0.514074756,1.000450285,1.784894607,0.720592289,0.791638703,1.249289681,1.829509401,0.751502355,1.334115334,0.50993602,0.94603245,1.784894607,0.720592289,0.791638703,1.30180459,1.855076266,0.759847013,1.573535084,0.530258388,0.89467226,1.784894607,0.720592289,0.791638703,1.308140438,1.880854374,0.789122623,1.773325822,0.602017789,0.857190596,1.784894607,0.720592289,0.791638703
4.935,1.276717099,1.584742054,0.754998868,1.649093422,0.556485648,0.991000838,1.693938328,0.771679889,0.804126034,1.26534352,1.790285857,0.75671631,1.140726607,0.574360982,0.948116193,1.693938328,0.771679889,0.804126034,1.264959926,1.771406547,0.794079428,1.546960083,0.582247952,0.893461624,1.693938328,0.771679889,0.804126034,1.311927086,1.83282743,0.802202054,1.735941906,0.662825933,0.865040605,1.693938328,0.771679889,0.804126034
5.005,1.243425881,1.566837216,0.782102855,1.325001146,0.615380212,0.991058555,1.637568594,0.823794039,0.819191723,1.221934941,1.745927674,0.792384739,0.948369914,0.621179361,0.948104642,1.637568594,0.823794039,0.819191723,1.21131209,1.743375146,0.819001071,1.398828926,0.620499528,0.897630453,1.637568594,0.823794039,0.819191723,1.241381087,1.778415765,0.826336542,1.49248429,0.71321251,0.863595501,1.637568594,0.823794039,0.819191723
5.075,1.206633263,1.535071069,0.815513541,1.408190493,0.67980243,0.997596569,1.625439819,0.869021847,0.849250938,1.182862437,1.677231377,0.830060832,0.898032782,0.650321014,0.955548036,1.625439819,0.869021847,0.849250938,1.150596608,1.683743742,0.843012692,1.253374296,0.655944673,0.914759944,1.625439819,0.869021847,0.849250938,1.205370781,1.681287119,0.857909789,1.441339349,0.77361682,0.891547615,1.625439819,0.869021847,0.849250938
5.145,1.166553757,1.527583212,0.844366592,1.400532409,0.750536354,1.004826844,1.610245445,0.909630025,0.889627455,1.128812501,1.63358609,0.86678537,0.83820787,0.721487302,0.977748236,1.610245445,0.909630025,0.889627455,1.110868881,1.585889209,0.888856781,1.235088506,0.708669221,0.943111007,1.610245445,0.909630025,0.889627455,1.178406281,1.591688244,0.883913255,1.388007688,0.821941386,0.918489764,1.610245445,0.909630025,0.889627455
5.215,1.1304999,1.442996244,0.887343666,1.31526206,0.784967921,1.009102873,1.567029729,0.958988435,0.931996504,1.112161205,1.619112513,0.897944002,0.841004863,0.763788332,0.990468701,1.567029729,0.958988435,0.931996504,1.073516293,1.543963835,0.912249696,1.14433926,0.753032631,0.967470301,1.567029729,0.958988435,0.931996504,1.125574247,1.525949683,0.925016987,1.394547762,0.860866346,0.945765421,1.567029729,0.958988435,0.931996504
5.285,1.080361567,1.38488674,0.932927077,1.174719896,0.82612928,1.005593839,1.508636445,1.00845841,0.969215266,1.07892392,1.549191223,0.931634549,0.717071514,0.820770058,0.998458355,1.508636445,1.00845841,0.969215266,1.058615589,1.444607226,0.940360895,1.193540083,0.825852512,0.97553297,1.508636445,1.00845841,0.969215266,1.066508626,1.447535773,0.980156752,1.312799065,0.922378789,0.972351538,1.508636445,1.00845841,0.969215266
5.355,1.033704183,1.325664884,0.965066542,1.243550229,0.897205101,1.016900496,1.452781343,1.051121307,0.992204708,1.009232403,1.444947051,0.980575995,0.672538343,0.870454587,1.000582023,1.452781343,1.051121307,0.992204708,1.004280555,1.390127081,0.986108237,1.066673622,0.879464266,0.985647106,1.452781343,1.051121307,0.992204708,1.045579768,1.402373846,1.014331546,1.249690657,0.971903932,0.990425867,1.452781343,1.051121307,0.992204708
5.425,0.989533742,1.257489983,1.018579631,1.158823076,0.976602466,1.006426398,1.411333539,1.098120817,1.011920042,0.961035354,1.379683448,1.018636932,0.721634607,0.921595707,1.006312931,1.411333539,1.098120817,1.011920042,0.962848293,1.28923458,1.018283736,1.082477507,0.962599266,0.996111947,1.411333539,1.098120817,1.011920042,1.019541675,1.317320144,1.0382341,1.2121115,1.006085729,1.000588447,1.411333539,1.098120817,1.011920042
5.495,0.982212321,1.179653354,1.060444002,1.218865445,1.040957218,0.979558199,1.346442279,1.148219878,1.009027019,0.939592119,1.325476172,1.049905431,0.709981631,0.980020634,0.986972735,1.346442279,1.148219878,1.009027019,0.930047663,1.221945038,1.05468412,1.054202791,1.029849187,0.997914668,1.346442279,1.148219878,1.009027019,0.969862204,1.250287798,1.0635826,1.18326706,1.057289231,0.978689965,1.346442279,1.148219878,1.009027019
5.565,0.93904635,1.111106069,1.107682184,1.25478161,1.096269142,0.955623018,1.249205282,1.195920122,0.991427598,0.907928951,1.206004954,1.08272981,0.723958584,1.069807251,0.972045007,1.249205282,1.195920122,0.991427598,0.884713103,1.13864503,1.090300505,1.026207394,1.094649759,0.981881457,1.249205282,1.195920122,0.991427598,0.925872849,1.197396306,1.103309095,1.093617763,1.104051327,0.964352638,1.249205282,1.195920122,0.991427598
5.635,0.911269194,1.034752609,1.154257819,1.168174742,1.164734608,0.930897928,1.117421598,1.240430764,0.975535802,0.878501025,1.1049241,1.122886185,0.718775812,1.111797695,0.950299732,1.117421598,1.240430764,0.975535802,0.868655642,1.091106715,1.128810779,0.94078379,1.141393857,0.954828694,1.117421598,1.240430764,0.975535802,0.903077499,1.154351168,1.145040447,1.005334665,1.154656672,0.932247018,1.117421598,1.240430764,0.975535802
5.705,0.860246082,1.012836472,1.177686784,1.013955886,1.233321988,0.894400541,1.033711481,1.272912255,0.95112502,0.846110347,1.046908639,1.173838535,0.69397872,1.141535005,0.910903051,1.033711481,1.272912255,0.95112502,0.837580596,1.025862879,1.171332561,0.826999556,1.195921899,0.916921613,1.033711481,1.272912255,0.95112502,0.848353587,1.093586944,1.170538245,0.889029471,1.229206222,0.910098684,1.033711481,1.272912255,0.95112502
5.775,0.829277068,0.94831311,1.210358957,0.921058722,1.279425939,0.852245493,0.959317253,1.308103821,0.921123547,0.832822332,0.982182399,1.205499451,0.545071515,1.206632839,0.87827536,0.959317253,1.308103821,0.921123547,0.800747328,0.95883081,1.212988047,0.728105202,1.233919437,0.890343958,0.959317253,1.308103821,0.921123547,0.813992908,1.022050932,1.199075976,0.784003592,1.265088289,0.880181405,0.959317253,1.308103821,0.921123547
5.845,0.810444057,0.891117895,1.236523376,0.830664753,1.337566784,0.839387002,0.88535243,1.324890609,0.899014212,0.830440993,0.92958655,1.23098253,0.500913548,1.250607768,0.840337193,0.88535243,1.324890609,0.899014212,0.786480431,0.908757095,1.233652744,0.643186049,1.270983559,0.859145187,0.88535243,1.324890609,0.899014212,0.780171755,0.96788144,1.205454977,0.720612118,1.300063951,0.852207615,0.88535243,1.324890609,0.899014212
5.915,0.794272695,0.851497635,1.25500333,0.725498816,1.375221046,0.816855819,0.84772764,1.335200967,0.88816486,0.802665825,0.863890547,1.248026862,0.476459151,1.301020328,0.819038695,0.84772764,1.335200967,0.88816486,0.751507257,0.859220798,1.249403397,0.638432973,1.298178258,0.839508642,0.84772764,1.335200967,0.88816486,0.775113779,0.916529024,1.219248839,0.689769266,1.335740463,0.825608355,0.84772764,1.335200967,0.88816486
